Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,0.9429,0.946,0.938,0.9455,0.9455,0
2010-01-01,0.9455,0.9457,0.944,0.9451,0.9451,0
2010-01-04,0.9393,0.9513,0.9362,0.9494,0.9494,0
2010-01-05,0.9498,0.9516,0.9458,0.9473,0.9473,0
2010-01-06,0.9473,0.951,0.9465,0.949,0.949,0
2010-01-07,0.9489,0.954,0.9459,0.9487,0.9487,0
2010-01-08,0.9486,0.954,0.9432,0.9522,0.9522,0
2010-01-11,0.9564,0.9627,0.9541,0.9607,0.9607,0
2010-01-12,0.9604,0.9609,0.9539,0.9562,0.9562,0
2010-01-13,0.9565,0.9601,0.9498,0.9522,0.9522,0
2010-01-14,0.9524,0.9603,0.9516,0.9526,0.9526,0
2010-01-15,0.9526,0.9531,0.9467,0.949,0.949,0
2010-01-18,0.9489,0.9515,0.9453,0.9501,0.9501,0
2010-01-19,0.9501,0.9551,0.9454,0.9517,0.9517,0
2010-01-20,0.9515,0.9574,0.9464,0.9526,0.9526,0
2010-01-21,0.952,0.9567,0.9462,0.9498,0.9498,0
2010-01-22,0.9495,0.9569,0.9448,0.9524,0.9524,0
2010-01-25,0.9547,0.9592,0.9532,0.956,0.956,0
2010-01-26,0.9559,0.9579,0.9501,0.9557,0.9557,0
2010-01-27,0.9556,0.9603,0.9512,0.9528,0.9528,0
2010-01-28,0.9524,0.9566,0.9508,0.9523,0.9523,0
2010-01-29,0.9522,0.9542,0.9447,0.9454,0.9454,0
2010-02-01,0.946,0.9472,0.9414,0.9465,0.9465,0
2010-02-02,0.9463,0.9465,0.9289,0.9377,0.9377,0
2010-02-03,0.9376,0.9409,0.9346,0.9363,0.9363,0
2010-02-04,0.9362,0.9363,0.9257,0.9309,0.9309,0
2010-02-05,0.9307,0.932,0.923,0.9295,0.9295,0
2010-02-08,0.9271,0.9303,0.9253,0.9277,0.9277,0
2010-02-09,0.9275,0.9381,0.9274,0.936,0.936,0
2010-02-10,0.9359,0.9372,0.928,0.9311,0.9311,0
2010-02-11,0.931,0.9411,0.9296,0.9348,0.9348,0
2010-02-12,0.9344,0.9361,0.9271,0.9334,0.9334,0
2010-02-15,0.9326,0.934,0.9299,0.9326,0.9326,0
2010-02-16,0.9321,0.9416,0.9311,0.94,0.94,0
2010-02-17,0.94,0.943,0.9379,0.9398,0.9398,0
2010-02-18,0.9397,0.9401,0.9333,0.9334,0.9334,0
2010-02-19,0.9342,0.939,0.9319,0.9351,0.9351,0
2010-02-22,0.9352,0.939,0.9327,0.938,0.938,0
2010-02-23,0.9378,0.9423,0.937,0.9412,0.9412,0
2010-02-24,0.9412,0.9432,0.9372,0.9411,0.9411,0
2010-02-25,0.9411,0.9424,0.9368,0.9405,0.9405,0
2010-02-26,0.941,0.9468,0.9398,0.9417,0.9417,0
2010-03-01,0.9446,0.9466,0.9365,0.9375,0.9375,0
2010-03-02,0.937,0.9397,0.9314,0.9358,0.9358,0
2010-03-03,0.9356,0.9365,0.931,0.9336,0.9336,0
2010-03-04,0.9337,0.9337,0.9254,0.9275,0.9275,0
2010-03-05,0.9273,0.9358,0.9267,0.9342,0.9342,0
2010-03-08,0.934,0.9374,0.9326,0.9338,0.9338,0
2010-03-09,0.9333,0.9403,0.9327,0.9396,0.9396,0
2010-03-10,0.9393,0.9412,0.9364,0.9365,0.9365,0
2010-03-11,0.9367,0.9414,0.9348,0.9369,0.9369,0
2010-03-12,0.9371,0.9394,0.9304,0.9321,0.9321,0
2010-03-15,0.9325,0.933,0.9287,0.9306,0.9306,0
2010-03-16,0.9305,0.933,0.9272,0.9309,0.9309,0
2010-03-17,0.9308,0.9343,0.9299,0.9324,0.9324,0
2010-03-18,0.9324,0.9344,0.9288,0.9335,0.9335,0
2010-03-19,0.9333,0.9375,0.9253,0.9312,0.9312,0
2010-03-22,0.9289,0.936,0.9258,0.9335,0.9335,0
2010-03-23,0.9336,0.9354,0.9317,0.9328,0.9328,0
2010-03-24,0.9327,0.9335,0.9291,0.9328,0.9328,0
2010-03-25,0.9327,0.9327,0.9278,0.9296,0.9296,0
2010-03-26,0.9294,0.9314,0.9254,0.928,0.928,0
2010-03-29,0.9278,0.937,0.9271,0.9359,0.9359,0
2010-03-30,0.936,0.9383,0.9339,0.9357,0.9357,0
2010-03-31,0.9356,0.9368,0.9269,0.9295,0.9295,0
2010-04-01,0.9299,0.9304,0.9253,0.9278,0.9278,0
2010-04-02,0.9277,0.9313,0.9268,0.9293,0.9293,0
2010-04-05,0.9274,0.9286,0.9216,0.9222,0.9222,0
2010-04-06,0.9224,0.9296,0.9203,0.9283,0.9283,0
2010-04-07,0.9282,0.9324,0.9244,0.931,0.931,0
2010-04-08,0.9308,0.9342,0.929,0.9299,0.9299,0
2010-04-09,0.93,0.9387,0.9278,0.9356,0.9356,0
