Date,Open,High,Low,Close,Adj Close,Volume
2014-12-31,22.37,22.42,22.14,22.17,17.26,1863400
2015-01-02,22.23,22.27,22.06,22.1,17.21,2210300
2015-01-05,22.12,22.15,21.85,21.89,17.05,2444900
2015-01-06,21.97,22.06,21.74,21.8,16.98,2265900
2015-01-07,21.82,22.01,21.78,22.0,17.13,1655400
2015-01-08,22.13,22.34,22.11,22.29,17.36,879900
2015-01-09,22.62,22.65,22.47,22.5,17.52,1932700
2015-01-12,22.38,22.38,22.19,22.24,17.32,1508300
2015-01-13,22.28,22.4,22.06,22.24,17.32,1870100
2015-01-14,21.9,21.99,21.76,21.94,17.08,2055800
2015-01-15,22.21,22.25,21.99,22.07,17.19,3659900
2015-01-16,21.89,22.33,21.89,22.32,17.38,1953200
2015-01-20,22.07,22.11,21.87,22.03,17.15,1283700
2015-01-21,22.31,22.44,22.14,22.23,17.31,2670400
2015-01-22,22.26,22.37,22.18,22.22,17.3,2110700
2015-01-23,22.06,22.13,21.96,22.0,17.13,1943600
2015-01-26,22.05,22.13,21.96,22.08,17.19,1135200
2015-01-27,22.15,22.21,22.07,22.12,17.22,1300900
2015-01-28,22.41,22.42,21.96,22.0,17.13,2074500
2015-01-29,21.97,22.07,21.8,22.05,17.17,1584800
2015-01-30,21.87,22.1,21.86,21.92,17.07,1610900
2015-02-02,22.27,22.4,22.21,22.37,17.42,1886300
2015-02-03,22.45,23.02,22.43,22.85,17.79,2460900
2015-02-04,22.81,22.91,22.69,22.73,17.7,3222600
2015-02-05,22.91,23.15,22.91,23.14,18.02,1437000
2015-02-06,22.99,23.1,22.92,22.99,17.9,2338600
2015-02-09,23.02,23.15,22.94,22.96,17.88,2138900
2015-02-10,22.94,23.01,22.83,22.95,17.87,1193600
2015-02-11,22.67,22.67,22.48,22.61,17.61,1672900
2015-02-12,22.54,22.83,22.53,22.75,17.72,1859300
2015-02-13,23.15,23.31,23.13,23.23,18.09,1803000
2015-02-17,23.24,23.39,23.2,23.38,18.21,1798700
2015-02-18,23.36,23.57,23.33,23.49,18.29,1554200
2015-02-19,23.37,23.53,23.37,23.39,18.21,1434900
2015-02-20,23.37,23.54,23.25,23.52,18.32,1195600
2015-02-23,23.4,23.5,23.37,23.46,18.27,1150300
2015-02-24,23.47,23.73,23.38,23.68,18.44,1499100
2015-02-25,23.84,23.93,23.83,23.84,18.56,1556300
2015-02-26,23.7,23.7,23.46,23.52,18.32,1675400
2015-02-27,23.64,23.77,23.61,23.68,18.44,1490100
2015-03-02,23.69,23.75,23.64,23.7,18.46,1122200
2015-03-03,23.73,23.78,23.67,23.71,18.46,1448000
2015-03-04,23.69,23.69,23.47,23.58,18.36,964700
2015-03-05,23.51,23.55,23.4,23.46,18.27,1426600
2015-03-06,23.32,23.34,23.04,23.05,17.95,1727700
2015-03-09,23.07,23.1,23.0,23.05,17.95,1556600
2015-03-10,22.69,22.75,22.47,22.52,17.54,3214000
2015-03-11,22.56,22.59,22.4,22.46,17.49,2739200
2015-03-12,23.06,23.15,23.01,23.11,18.0,2502600
2015-03-13,22.78,22.79,22.46,22.66,17.65,3172700
2015-03-16,22.83,22.94,22.8,22.86,17.8,2973600
2015-03-17,22.75,22.85,22.72,22.79,17.75,1800600
2015-03-18,22.82,23.52,22.8,23.47,18.28,3881200
2015-03-19,23.29,23.38,23.17,23.24,18.1,2043200
2015-03-20,23.75,24.01,23.68,23.93,18.63,3339200
2015-03-23,23.97,24.18,23.93,24.1,18.77,1827300
2015-03-24,24.18,24.22,24.07,24.11,18.77,2407600
2015-03-25,24.16,24.19,23.82,23.84,18.56,2076700
2015-03-26,23.68,23.69,23.48,23.61,18.39,2856200
2015-03-27,23.48,23.51,23.35,23.38,18.21,3337800
2015-03-30,23.12,23.21,23.1,23.13,18.01,2285600
2015-03-31,22.81,23.01,22.8,22.86,17.8,2011500
2015-04-01,22.93,23.0,22.83,22.9,17.83,2148700
2015-04-02,22.85,23.08,22.82,22.98,17.89,3291500
2015-04-06,23.02,23.41,23.0,23.19,18.06,2471200
2015-04-07,23.28,23.44,23.27,23.31,18.15,2396700
2015-04-08,23.54,23.68,23.44,23.56,18.35,3928000
2015-04-09,23.58,23.58,23.37,23.5,18.3,1960400
2015-04-10,23.47,23.59,23.47,23.55,18.34,1109200
2015-04-13,23.23,23.28,23.11,23.15,18.03,1876000
2015-04-14,23.19,23.31,23.15,23.28,18.13,1611500
2015-04-15,23.2,23.47,23.12,23.35,18.18,3915300
2015-04-16,23.64,23.83,23.57,23.72,18.47,3928100
2015-04-17,23.3,23.36,23.14,23.28,18.13,2755500
2015-04-20,23.22,23.31,23.16,23.24,18.1,2237300
2015-04-21,23.26,23.33,23.13,23.17,18.04,2097700
2015-04-22,23.18,23.25,23.08,23.23,18.09,1292300
2015-04-23,23.09,23.42,23.08,23.4,18.22,1360700
2015-04-24,23.81,23.96,23.78,23.93,18.63,1615500
2015-04-27,24.02,24.22,24.02,24.05,18.73,1221500
2015-04-28,24.2,24.43,24.17,24.39,18.99,1957600
2015-04-29,23.74,23.92,23.73,23.81,18.54,2810900
2015-04-30,23.26,23.37,23.14,23.32,18.16,3375100
2015-05-01,23.38,23.47,23.28,23.45,18.26,1113600
2015-05-04,23.4,23.47,23.37,23.41,18.23,1317500
2015-05-05,23.41,23.5,23.32,23.38,18.21,2045100
2015-05-06,23.22,23.23,22.87,22.98,17.89,2706700
2015-05-07,22.8,22.81,22.62,22.69,17.67,4956800
2015-05-08,22.89,22.95,22.72,22.94,17.86,1341400
2015-05-11,22.51,22.66,22.51,22.52,17.54,2028800
2015-05-12,22.92,23.12,22.89,23.06,17.96,2740300
2015-05-13,23.56,23.67,23.51,23.54,18.33,1742700
2015-05-14,23.81,23.81,23.62,23.71,18.46,3301200
2015-05-15,23.54,23.7,23.49,23.7,18.46,2108300
2015-05-18,23.13,23.29,23.02,23.23,18.09,1544600
2015-05-19,22.83,22.85,22.72,22.79,17.75,2114200
2015-05-20,22.7,22.83,22.63,22.69,17.67,2003300
2015-05-21,22.84,22.98,22.81,22.93,17.86,1237300
2015-05-22,22.76,22.78,22.69,22.73,17.7,832400
2015-05-26,22.97,22.97,22.72,22.76,17.72,1216100
2015-05-27,22.67,22.78,22.62,22.77,17.73,2611900
2015-05-28,22.41,22.48,22.3,22.46,17.49,1287500
2015-05-29,22.61,22.68,22.54,22.54,17.55,1551200
2015-06-01,22.49,22.55,22.32,22.37,17.42,1325700
2015-06-02,22.26,22.51,22.22,22.46,17.49,1365400
2015-06-03,22.25,22.44,22.25,22.29,17.36,1788900
2015-06-04,21.67,21.73,21.57,21.61,16.83,3418300
2015-06-05,21.44,21.6,21.38,21.49,16.73,2323000
2015-06-08,21.52,21.59,21.45,21.58,16.8,2298500
2015-06-09,21.5,21.54,21.4,21.49,16.73,1608000
2015-06-10,21.83,22.01,21.81,21.97,17.11,1839400
2015-06-11,22.09,22.14,22.01,22.12,17.22,1336400
2015-06-12,21.83,22.01,21.8,21.91,17.06,818800
2015-06-15,22.06,22.09,21.99,22.02,17.15,1179800
2015-06-16,22.05,22.19,22.05,22.18,17.27,896400
2015-06-17,22.06,22.32,21.91,22.23,17.31,1998300
2015-06-18,22.34,22.45,22.3,22.31,17.37,2095100
2015-06-19,22.37,22.4,22.31,22.34,17.4,1124600
2015-06-22,22.52,22.55,22.37,22.38,17.43,2559800
2015-06-23,22.49,22.64,22.47,22.6,17.6,1185900
2015-06-24,22.56,22.62,22.48,22.5,17.52,1461500
2015-06-25,21.95,21.95,21.84,21.85,17.43,1457100
2015-06-26,21.46,21.49,21.33,21.44,17.1,2304800
2015-06-29,20.96,21.1,20.87,20.9,16.67,2392600
2015-06-30,21.14,21.2,20.95,21.03,16.77,2770200
2015-07-01,21.37,21.38,21.18,21.26,16.95,1640000
2015-07-02,21.43,21.45,21.35,21.39,17.06,1514800
2015-07-06,20.76,20.9,20.69,20.79,16.58,1928000
2015-07-07,20.7,20.92,20.4,20.84,16.62,3541900
2015-07-08,20.45,20.49,20.25,20.25,16.15,2970900
2015-07-09,20.61,20.65,20.41,20.44,16.3,2091500
2015-07-10,20.67,20.75,20.59,20.7,16.51,1245500
2015-07-13,20.65,20.75,20.6,20.71,16.52,2388400
2015-07-14,20.96,21.0,20.92,20.95,16.71,1581700
2015-07-15,21.1,21.14,20.84,20.9,16.67,1269300
2015-07-16,21.19,21.28,21.13,21.15,16.87,1852000
2015-07-17,21.08,21.09,21.0,21.04,16.78,2243300
2015-07-20,21.18,21.24,21.08,21.18,16.89,1660500
2015-07-21,21.17,21.32,21.11,21.23,16.93,1006300
2015-07-22,20.8,20.85,20.71,20.81,16.6,2029900
2015-07-23,20.68,20.71,20.55,20.56,16.4,2472800
2015-07-24,20.39,20.39,20.15,20.22,16.13,2098100
2015-07-27,20.42,20.42,20.24,20.27,16.17,1712300
2015-07-28,20.56,20.77,20.51,20.73,16.53,2939300
2015-07-29,20.81,20.89,20.73,20.79,16.58,1776300
2015-07-30,20.76,20.86,20.71,20.85,16.63,1036100
2015-07-31,21.14,21.15,20.85,20.92,16.68,1249200
2015-08-03,20.75,20.85,20.67,20.74,16.54,2201600
2015-08-04,21.15,21.28,21.06,21.09,16.82,1948300
2015-08-05,21.11,21.17,21.01,21.04,16.78,1322400
2015-08-06,20.6,20.62,20.41,20.52,16.36,1931300
2015-08-07,20.29,20.36,20.13,20.34,16.22,3558700
2015-08-10,20.37,20.65,20.37,20.65,16.47,1467100
2015-08-11,20.04,20.04,19.82,19.94,15.9,1912400
2015-08-12,19.71,19.95,19.63,19.95,15.91,3817600
2015-08-13,19.78,19.94,19.71,19.89,15.86,1571600
2015-08-14,19.85,19.9,19.73,19.86,15.84,1788900
2015-08-17,19.82,19.96,19.75,19.93,15.89,1657700
2015-08-18,19.63,19.75,19.62,19.7,15.71,2287600
2015-08-19,19.88,20.01,19.66,19.85,15.83,2417100
2015-08-20,19.5,19.53,19.27,19.28,15.38,5773400
2015-08-21,19.23,19.26,18.79,18.82,15.01,4015000
2015-08-24,17.44,17.93,17.2,17.34,13.83,12390600
2015-08-25,19.12,19.15,18.37,18.37,14.65,8749600
2015-08-26,18.72,18.91,18.3,18.88,15.06,6303500
2015-08-27,18.9,19.27,18.86,19.25,15.35,7512700
2015-08-28,18.86,19.16,18.86,19.15,15.27,2836200
2015-08-31,18.71,18.74,18.53,18.65,14.87,3774400
2015-09-01,17.95,18.05,17.71,17.79,14.19,3554500
2015-09-02,18.16,18.2,17.9,18.19,14.51,2111900
2015-09-03,17.94,18.16,17.87,17.94,14.31,1623800
2015-09-04,17.63,17.73,17.46,17.54,13.99,1359700
2015-09-08,18.26,18.38,18.15,18.34,14.63,2054300
2015-09-09,18.63,18.65,18.24,18.28,14.58,2612800
2015-09-10,18.21,18.47,18.13,18.36,14.64,2171000
2015-09-11,18.23,18.34,18.16,18.33,14.62,1599000
2015-09-14,18.42,18.53,18.39,18.44,14.71,1331700
2015-09-15,18.16,18.43,18.14,18.42,14.69,2071800
2015-09-16,18.66,18.93,18.64,18.9,15.07,2935200
2015-09-17,18.71,19.22,18.66,18.71,14.92,5531500
2015-09-18,18.83,18.9,18.56,18.61,14.84,2328400
2015-09-21,18.49,18.58,18.38,18.45,14.71,1210300
2015-09-22,18.11,18.22,18.01,18.2,14.51,2257200
2015-09-23,17.99,18.05,17.78,17.83,14.22,1303300
2015-09-24,17.84,18.17,17.8,18.1,14.43,3407500
2015-09-25,18.07,18.14,17.9,17.99,14.35,1763500
2015-09-28,17.97,18.0,17.7,17.71,14.12,1492200
2015-09-29,17.46,17.61,17.35,17.49,13.95,4991300
2015-09-30,17.8,17.92,17.7,17.92,14.29,2565100
2015-10-01,18.2,18.25,17.95,18.07,14.41,1834300
2015-10-02,17.73,18.26,17.69,18.25,14.55,2414900
2015-10-05,18.55,18.8,18.55,18.77,14.97,2323100
2015-10-06,18.8,18.91,18.75,18.88,15.06,1353900
2015-10-07,19.24,19.34,19.08,19.18,15.3,2942500
2015-10-08,19.13,19.5,19.11,19.46,15.52,2041500
2015-10-09,19.61,19.69,19.56,19.64,15.66,1088900
2015-10-12,19.62,19.66,19.54,19.57,15.61,1344700
2015-10-13,19.13,19.36,19.1,19.15,15.27,1201700
2015-10-14,19.23,19.32,19.16,19.26,15.36,2511600
2015-10-15,19.4,19.68,19.39,19.62,15.65,3960400
2015-10-16,19.53,19.58,19.47,19.57,15.61,1304600
2015-10-19,19.43,19.47,19.36,19.4,15.47,3006500
2015-10-20,19.27,19.36,19.21,19.28,15.38,1635100
2015-10-21,19.31,19.32,19.13,19.14,15.26,2242600
2015-10-22,19.45,19.59,19.37,19.53,15.58,1780000
2015-10-23,19.72,19.83,19.7,19.79,15.78,2286400
2015-10-26,19.82,19.84,19.71,19.73,15.73,1211600
2015-10-27,19.68,19.72,19.52,19.55,15.59,2296400
2015-10-28,19.35,19.52,19.18,19.39,15.46,3924100
2015-10-29,18.86,18.95,18.81,18.83,15.02,3459300
2015-10-30,18.81,19.05,18.73,18.92,15.09,5071800
2015-11-02,18.69,18.89,18.66,18.87,15.05,2384800
2015-11-03,18.94,19.24,18.93,19.21,15.32,1892800
2015-11-04,19.08,19.11,18.9,18.99,15.14,2088600
2015-11-05,18.91,18.91,18.72,18.81,15.0,2346700
2015-11-06,18.66,18.7,18.48,18.64,14.87,2176700
2015-11-09,18.2,18.23,18.05,18.16,14.48,5356000
2015-11-10,18.08,18.16,18.03,18.14,14.47,1480600
2015-11-11,18.4,18.44,18.32,18.34,14.63,2016700
2015-11-12,18.37,18.47,18.35,18.35,14.63,2174500
2015-11-13,18.23,18.23,18.08,18.11,14.44,2124500
2015-11-16,18.04,18.28,18.03,18.26,14.56,2319600
2015-11-17,18.5,18.58,18.41,18.46,14.72,2515000
2015-11-18,18.58,18.75,18.56,18.73,14.94,1856900
2015-11-19,19.2,19.29,19.18,19.2,15.31,2191900
2015-11-20,19.47,19.51,19.35,19.35,15.43,1525000
2015-11-23,19.3,19.38,19.23,19.23,15.34,2000800
2015-11-24,19.17,19.36,19.14,19.35,15.43,3008700
2015-11-25,19.19,19.26,19.14,19.16,15.28,1043700
2015-11-27,18.99,19.05,18.94,19.02,15.17,767500
2015-11-30,19.07,19.16,19.07,19.09,15.22,1558200
2015-12-01,19.47,19.66,19.47,19.63,15.65,3322800
2015-12-02,19.62,19.67,19.41,19.43,15.5,1535600
2015-12-03,19.48,19.49,19.25,19.3,15.39,1670800
2015-12-04,19.16,19.43,19.16,19.39,15.46,1936100
2015-12-07,19.11,19.14,18.96,19.01,15.16,2278400
2015-12-08,18.58,18.76,18.53,18.63,14.86,2248300
2015-12-09,18.69,18.83,18.42,18.6,14.83,3470400
2015-12-10,18.61,18.75,18.58,18.61,14.84,2036000
2015-12-11,18.3,18.34,18.05,18.09,14.43,3064500
2015-12-14,18.08,18.15,17.91,18.1,14.43,5552000
2015-12-15,18.14,18.18,18.01,18.13,14.46,2765800
2015-12-16,18.35,18.7,18.35,18.65,14.87,4249100
2015-12-17,18.64,18.64,18.31,18.31,14.6,6050200
2015-12-18,18.56,18.68,18.51,18.53,14.78,4286500
2015-12-21,18.27,18.33,18.12,18.24,14.96,3265200
2015-12-22,18.29,18.39,18.22,18.38,15.07,2988500
2015-12-23,18.53,18.72,18.51,18.72,15.35,2285200
2015-12-24,18.77,18.84,18.73,18.73,15.36,1324300
2015-12-28,18.69,18.7,18.59,18.69,15.33,2283800
2015-12-29,19.15,19.26,19.14,19.2,15.74,2721300
2015-12-30,19.22,19.28,19.15,19.16,15.71,2121500
2015-12-31,19.1,19.16,18.95,18.96,15.55,2550800
2016-01-04,18.7,18.72,18.48,18.7,15.33,3513900
2016-01-05,18.45,18.47,18.23,18.42,15.1,4774000
2016-01-06,17.83,17.96,17.81,17.89,14.67,3491200
2016-01-07,17.15,17.43,17.06,17.13,14.05,5513800
2016-01-08,17.15,17.19,16.86,16.88,13.84,3975500
2016-01-11,17.16,17.18,16.79,17.02,13.96,3813800
2016-01-12,17.16,17.24,16.91,17.12,14.04,2410500
2016-01-13,17.26,17.31,16.74,16.82,13.79,4065000
2016-01-14,16.94,17.31,16.79,17.17,14.08,5283300
2016-01-15,16.28,16.45,16.09,16.25,13.33,6538600
2016-01-19,16.81,16.83,16.5,16.64,13.65,7601200
2016-01-20,16.46,16.71,16.08,16.58,13.6,7062200
2016-01-21,16.6,17.01,16.46,16.9,13.86,5235100
2016-01-22,17.24,17.32,17.12,17.21,14.11,2605800
2016-01-25,17.13,17.21,16.93,16.94,13.89,3878600
2016-01-26,17.09,17.3,17.06,17.28,14.17,3135500
2016-01-27,17.27,17.43,16.95,17.09,14.01,3646100
2016-01-28,17.53,17.57,17.26,17.4,14.27,3410500
2016-01-29,17.53,17.65,17.48,17.64,14.47,3159200
2016-02-01,17.48,17.76,17.43,17.67,14.49,3180100
2016-02-02,17.2,17.22,17.02,17.11,14.03,3166000
2016-02-03,17.17,17.38,16.83,17.35,14.23,5390800
2016-02-04,17.6,17.83,17.58,17.65,14.47,4369400
2016-02-05,17.48,17.49,17.11,17.19,14.1,2110500
2016-02-08,17.14,17.26,17.02,17.17,14.08,4626700
2016-02-09,16.6,16.91,16.56,16.84,13.81,4465900
2016-02-10,16.78,16.95,16.73,16.78,13.76,4231300
2016-02-11,16.64,16.79,16.54,16.72,13.71,4289500
2016-02-12,16.69,16.95,16.61,16.94,13.89,4423000
2016-02-16,17.3,17.36,17.11,17.32,14.2,2489400
2016-02-17,17.36,17.65,17.33,17.6,14.43,4309600
2016-02-18,17.78,17.78,17.62,17.66,14.48,1953800
2016-02-19,17.37,17.64,17.31,17.62,14.45,1397800
2016-02-22,17.96,18.13,17.96,18.11,14.85,2155300
2016-02-23,17.92,17.95,17.73,17.77,14.57,1511500
2016-02-24,17.23,17.6,17.16,17.58,14.42,3343400
2016-02-25,17.37,17.6,17.28,17.6,14.43,2583400
2016-02-26,17.59,17.6,17.25,17.3,14.19,2089800
2016-02-29,17.32,17.45,17.27,17.28,14.17,3429200
2016-03-01,17.68,17.86,17.57,17.84,14.63,3210800
2016-03-02,18.12,18.37,18.07,18.36,15.06,2802500
2016-03-03,18.62,18.76,18.6,18.72,15.35,2857600
2016-03-04,18.94,19.15,18.9,19.05,15.62,5211100
2016-03-07,19.05,19.39,19.05,19.32,15.84,3660300
2016-03-08,19.11,19.11,18.92,18.96,15.55,3111200
2016-03-09,19.38,19.51,19.31,19.41,15.92,6699300
2016-03-10,19.4,19.43,19.09,19.27,15.8,6644700
2016-03-11,19.59,19.79,19.57,19.77,16.21,5598900
2016-03-14,19.56,19.58,19.45,19.51,16.0,2037700
2016-03-15,19.01,19.07,18.97,19.07,15.64,2436200
2016-03-16,19.0,19.52,19.0,19.51,16.0,3267500
2016-03-17,19.68,20.0,19.62,19.94,16.35,4149700
2016-03-18,19.82,19.92,19.79,19.83,16.26,2895900
2016-03-21,19.75,19.8,19.65,19.72,16.17,3089800
2016-03-22,19.55,19.75,19.54,19.69,16.15,8734500
2016-03-23,19.51,19.51,19.24,19.27,15.8,5583500
2016-03-24,19.04,19.24,19.04,19.23,15.77,2786800
2016-03-28,19.25,19.32,19.19,19.29,15.82,1333800
2016-03-29,18.75,19.24,18.68,19.24,15.78,2869100
2016-03-30,19.34,19.45,19.25,19.33,15.85,1809800
2016-03-31,19.46,19.56,19.32,19.32,15.84,3800600
2016-04-01,18.89,19.22,18.86,19.2,15.74,2504200
2016-04-04,19.08,19.08,18.91,18.96,15.55,2048000
2016-04-05,18.39,18.44,18.31,18.4,15.09,2463100
2016-04-06,18.51,18.83,18.51,18.8,15.42,2251500
2016-04-07,18.51,18.57,18.35,18.41,15.1,3521700
2016-04-08,18.68,18.74,18.53,18.6,15.25,1915900
2016-04-11,18.66,18.79,18.61,18.61,15.26,2192000
2016-04-12,18.95,19.23,18.84,19.19,15.74,4439700
2016-04-13,19.46,19.53,19.38,19.49,15.98,5737900
2016-04-14,19.82,19.82,19.69,19.69,16.15,2605400
2016-04-15,19.84,19.97,19.8,19.88,16.3,4282800
2016-04-18,19.89,20.17,19.86,20.13,16.51,3485900
2016-04-19,20.32,20.45,20.3,20.44,16.76,4497300
2016-04-20,20.46,20.6,20.44,20.46,16.78,2839600
2016-04-21,20.53,20.53,20.27,20.33,16.67,3529200
2016-04-22,20.25,20.37,20.16,20.26,16.61,2449400
2016-04-25,20.19,20.21,20.11,20.15,16.52,2133700
2016-04-26,20.34,20.35,20.22,20.3,16.65,1682800
2016-04-27,19.72,19.87,19.63,19.81,16.24,5864000
2016-04-28,19.83,20.08,19.79,19.87,16.29,3195600
2016-04-29,20.0,20.07,19.84,19.93,16.34,5432800
2016-05-02,19.99,20.08,19.92,20.08,16.47,2552500
2016-05-03,20.05,20.05,19.83,19.83,16.26,3007900
2016-05-04,19.64,19.68,19.47,19.52,16.01,2341600
2016-05-05,19.64,19.68,19.44,19.51,16.0,1861200
2016-05-06,19.24,19.47,19.21,19.47,15.97,4258400
2016-05-09,19.48,19.5,19.37,19.37,15.88,3604100
2016-05-10,19.64,19.81,19.62,19.8,16.24,1865600
2016-05-11,19.74,19.85,19.7,19.73,16.18,2460500
2016-05-12,19.85,19.86,19.52,19.68,16.14,2579900
2016-05-13,19.48,19.52,19.35,19.4,15.91,4257000
2016-05-16,19.58,19.73,19.57,19.71,16.16,1629100
2016-05-17,19.77,19.88,19.66,19.68,16.14,3059000
2016-05-18,19.53,19.79,19.4,19.43,15.93,5419400
2016-05-19,19.31,19.39,19.19,19.37,15.88,2927900
2016-05-20,19.47,19.52,19.38,19.45,15.95,2127800
2016-05-23,19.23,19.34,19.23,19.32,15.84,1178700
2016-05-24,19.22,19.39,19.17,19.37,15.88,2549500
2016-05-25,19.39,19.54,19.39,19.49,15.98,1732500
2016-05-26,19.61,19.66,19.54,19.56,16.04,4120500
2016-05-27,19.58,19.65,19.53,19.58,16.06,1310200
2016-05-31,19.53,19.64,19.36,19.45,15.95,2851900
2016-06-01,19.25,19.47,19.24,19.42,15.92,3013100
2016-06-02,19.09,19.27,19.07,19.27,15.8,3251600
2016-06-03,19.52,19.67,19.41,19.64,16.11,3265100
2016-06-06,19.82,19.92,19.73,19.86,16.29,2821400
