Date,Open,High,Low,Close,Adj Close,Volume
2014-12-31,28.83,28.91,28.71,28.86,25.68,2154700
2015-01-02,28.62,28.82,28.53,28.69,25.53,2421600
2015-01-05,28.42,28.54,27.77,27.92,24.84,3434400
2015-01-06,27.91,27.91,27.35,27.51,24.48,1992700
2015-01-07,27.62,27.85,27.46,27.54,24.51,2172200
2015-01-08,27.73,28.02,27.73,27.88,24.81,1524800
2015-01-09,27.87,27.91,27.56,27.64,24.59,2828900
2015-01-12,27.42,27.46,27.04,27.2,24.2,2488700
2015-01-13,27.3,27.48,26.8,27.08,24.1,1601200
2015-01-14,26.82,26.92,26.41,26.91,23.94,3654800
2015-01-15,27.19,27.19,26.75,26.76,23.81,2980300
2015-01-16,26.61,27.29,26.61,27.26,24.26,2105000
2015-01-20,27.25,27.27,26.92,26.94,23.97,1626200
2015-01-21,27.02,27.19,26.84,27.02,24.04,2590700
2015-01-22,27.02,27.4,27.02,27.25,24.25,1732100
2015-01-23,27.24,27.44,27.21,27.26,24.26,1835700
2015-01-26,27.2,27.29,27.07,27.19,24.19,1180900
2015-01-27,27.04,27.44,27.04,27.39,24.37,2233300
2015-01-28,27.4,27.41,26.68,26.7,23.76,1797500
2015-01-29,26.7,26.79,26.19,26.58,23.65,2561800
2015-01-30,26.18,26.77,26.05,26.44,23.53,3414300
2015-02-02,26.65,27.2,26.65,27.14,24.15,1980300
2015-02-03,27.44,28.06,27.38,27.87,24.8,4998000
2015-02-04,27.57,27.67,27.23,27.35,24.34,2442400
2015-02-05,27.53,27.96,27.52,27.89,24.82,2715400
2015-02-06,27.78,27.99,27.5,27.61,24.57,1532200
2015-02-09,27.69,28.01,27.69,27.8,24.74,1471900
2015-02-10,27.79,27.79,27.42,27.6,24.56,1989500
2015-02-11,27.4,27.6,27.35,27.52,24.49,2144800
2015-02-12,27.85,28.01,27.76,27.98,24.9,1593900
2015-02-13,28.17,28.28,28.03,28.08,24.99,2050500
2015-02-17,28.21,28.46,28.06,28.37,25.24,963300
2015-02-18,28.11,28.18,27.94,28.06,24.97,1445600
2015-02-19,27.72,27.91,27.62,27.83,24.76,1191200
2015-02-20,27.86,27.9,27.67,27.71,24.66,1174700
2015-02-23,27.66,27.81,27.55,27.71,24.66,2517200
2015-02-24,27.69,27.91,27.59,27.87,24.8,2584900
2015-02-25,28.06,28.19,27.96,28.15,25.05,945000
2015-02-26,28.07,28.22,27.95,27.96,24.88,987500
2015-02-27,27.99,28.25,27.99,28.02,24.93,1369700
2015-03-02,27.97,28.05,27.87,28.03,24.94,1098900
2015-03-03,28.12,28.13,27.84,27.87,24.8,808400
2015-03-04,27.72,27.94,27.59,27.89,24.82,1076200
2015-03-05,27.87,28.0,27.75,27.75,24.69,1043700
2015-03-06,27.53,27.67,27.2,27.27,24.27,1441600
2015-03-09,27.33,27.39,27.16,27.16,24.17,1154200
2015-03-10,26.97,27.0,26.58,26.59,23.66,1543700
2015-03-11,26.6,26.73,26.49,26.6,23.67,1487700
2015-03-12,26.9,26.95,26.77,26.79,23.84,2049800
2015-03-13,26.69,26.69,26.28,26.56,23.63,3360300
2015-03-16,26.64,26.98,26.58,26.9,23.94,2505300
2015-03-17,26.77,26.99,26.62,26.93,23.96,1801300
2015-03-18,26.82,27.62,26.73,27.51,24.48,3493800
2015-03-19,27.12,27.18,26.83,26.85,23.89,1505300
2015-03-20,27.27,27.57,27.19,27.45,24.43,2300500
2015-03-23,27.61,27.69,27.46,27.59,24.55,941200
2015-03-24,27.68,27.89,27.52,27.81,24.75,1235900
2015-03-25,27.97,28.0,27.5,27.53,24.5,1031000
2015-03-26,27.64,27.78,27.39,27.47,24.44,1240800
2015-03-27,27.44,27.5,27.06,27.07,24.09,1537100
2015-03-30,27.09,27.25,27.06,27.09,24.11,944800
2015-03-31,26.9,27.27,26.8,27.18,24.19,1862400
2015-04-01,27.28,27.36,27.09,27.3,24.29,1535300
2015-04-02,27.29,27.66,27.26,27.63,24.59,1580600
2015-04-06,27.65,28.09,27.65,27.9,24.83,1343300
2015-04-07,27.85,28.23,27.85,28.0,24.91,1366900
2015-04-08,28.22,28.33,27.91,28.0,24.91,1267000
